City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
99,pacific grove,36.6177,-121.9166,11.9,66,0,2.57,US,2023-03-06 17:47:25
100,mount gambier,-37.8333,140.7667,13.48,72,5,5.61,AU,2023-03-06 17:47:26
101,pemangkat,1.1667,108.9667,24.21,91,100,2.31,ID,2023-03-06 17:47:26
102,ternate,0.8,127.4,26.08,84,78,3.21,ID,2023-03-06 17:47:26
103,port alfred,-33.5906,26.891,20.1,91,13,2.68,ZA,2023-03-06 17:47:26
104,zell am see,47.3256,12.7944,4.44,71,100,1.08,AT,2023-03-06 17:47:26
105,verkhoyansk,67.5447,133.385,-31.12,100,94,0.87,RU,2023-03-06 17:47:26
106,faya,18.3851,42.4509,19.06,56,6,1.66,SA,2023-03-06 17:47:26
107,ouesso,1.6136,16.0517,27.87,49,99,1.51,CG,2023-03-06 17:47:27
108,kuruman,-27.4524,23.4325,23.88,27,0,2.13,ZA,2023-03-06 17:47:27
109,hilo,19.7297,-155.09,24.6,77,0,3.6,US,2023-03-06 17:47:27
110,chichester,50.8367,-0.78,7.78,90,100,1.34,GB,2023-03-06 17:38:08
111,prescott,34.54,-112.4685,12.03,31,60,6.26,US,2023-03-06 17:47:27
112,riyadh,24.6877,46.7219,27.08,19,2,5.02,SA,2023-03-06 17:36:37
113,agidel,55.9077,53.9355,-3.9,97,100,2.35,RU,2023-03-06 17:47:28
114,ventspils,57.3894,21.5606,-1.04,86,75,5.14,LV,2023-03-06 17:45:44
115,richards bay,-28.783,32.0377,23.59,90,100,1.78,ZA,2023-03-06 17:47:28
116,zhigansk,66.7697,123.3711,-30.6,100,84,3.44,RU,2023-03-06 17:47:28
117,kemin,42.7846,75.6892,7.09,92,100,3.2,KG,2023-03-06 17:47:28
118,wanaka,-44.7,169.15,7.74,80,52,1.62,NZ,2023-03-06 17:47:28
119,kuching,1.55,110.3333,25.57,96,20,0.0,MY,2023-03-06 17:47:28
120,atuona,-9.8,-139.0333,26.73,79,17,5.68,PF,2023-03-06 17:47:29
121,pisco,-13.7,-76.2167,26.12,69,0,5.14,PE,2023-03-06 17:47:29
122,grindavik,63.8424,-22.4338,-2.74,54,75,3.09,IS,2023-03-06 17:47:29
123,port saint lucie,27.2939,-80.3503,31.13,69,47,5.36,US,2023-03-06 17:47:29
124,zhicheng,30.2956,111.5047,17.54,73,100,2.63,CN,2023-03-06 17:47:29
125,tura,25.5198,90.2201,20.32,26,0,1.14,IN,2023-03-06 17:47:29
126,eenhana,-17.4667,16.3333,27.7,24,21,2.87,NA,2023-03-06 17:47:29
127,chuy,-33.6971,-53.4616,26.31,50,40,5.82,UY,2023-03-06 17:47:30
128,te anau,-45.4167,167.7167,8.58,91,75,1.05,NZ,2023-03-06 17:47:30
129,beloha,-25.1667,45.05,23.26,91,100,6.51,MG,2023-03-06 17:47:30
130,sobolevo,54.4299,31.8996,-8.1,87,49,3.6,RU,2023-03-06 17:47:30
131,carora,10.1755,-70.0827,34.37,32,87,4.43,VE,2023-03-06 17:47:30
132,coihaique,-45.5752,-72.0662,12.34,71,75,3.09,CL,2023-03-06 17:45:04
133,grants,35.1473,-107.8514,13.13,8,0,7.2,US,2023-03-06 17:47:31
134,nogliki,51.8333,143.1667,-18.08,100,69,0.72,RU,2023-03-06 17:47:31
135,ginir,7.1333,40.7,17.91,37,63,0.15,ET,2023-03-06 17:47:31
136,kawalu,-7.3817,108.2082,21.78,97,55,0.78,ID,2023-03-06 17:47:31
137,kulhudhuffushi,6.6221,73.07,27.45,75,65,6.33,MV,2023-03-06 17:47:31
138,sicamous,50.8331,-118.9856,1.77,68,67,0.52,CA,2023-03-06 17:47:31
139,dingle,10.9995,122.6711,22.86,90,11,4.15,PH,2023-03-06 17:47:32
140,airai,-8.9266,125.4092,14.79,91,92,0.71,TL,2023-03-06 17:47:32
141,beaverlodge,55.2166,-119.4361,-20.36,90,100,1.6,CA,2023-03-06 17:47:32
142,calamar,10.2511,-74.9146,35.76,38,56,2.37,CO,2023-03-06 17:47:32
143,kodiak,57.79,-152.4072,-6.27,93,0,3.6,US,2023-03-06 17:47:32
144,hami,42.8,93.45,8.51,33,3,0.8,CN,2023-03-06 17:47:32
145,korla,41.7597,86.1469,8.28,44,59,1.97,CN,2023-03-06 17:47:32
146,karratha,-20.7377,116.8463,29.21,73,15,3.33,AU,2023-03-06 17:47:33
147,cranbrook,49.4999,-115.7688,-7.09,63,75,1.54,CA,2023-03-06 17:47:33
148,georgetown,5.4112,100.3354,27.96,83,20,1.54,MY,2023-03-06 17:46:20
149,atar,20.5169,-13.0499,33.96,8,100,4.54,MR,2023-03-06 17:47:33
150,ribeira grande,38.5167,-28.7,17.22,94,75,12.07,PT,2023-03-06 17:47:33
151,tabou,4.423,-7.3528,28.01,78,89,5.01,CI,2023-03-06 17:47:33
152,torbay,47.6666,-52.7314,0.32,83,75,5.66,CA,2023-03-06 17:47:34
153,ossora,59.2353,163.0719,-13.01,87,100,2.56,RU,2023-03-06 17:47:34
154,hovd,48.0056,91.6419,-0.52,44,40,3.55,MN,2023-03-06 17:47:34
155,changji,44.0167,87.3167,3.44,75,54,2.0,CN,2023-03-06 17:47:34
156,rio grande,-32.035,-52.0986,25.06,76,100,6.91,BR,2023-03-06 17:47:34
157,tuktoyaktuk,69.4541,-133.0374,-33.0,75,20,2.06,CA,2023-03-06 17:47:34
158,hualmay,-11.0964,-77.6139,25.17,67,99,3.65,PE,2023-03-06 17:47:34
159,mareeba,-17.0,145.4333,22.47,94,100,1.16,AU,2023-03-06 17:47:35
160,les cayes,18.2,-73.75,28.19,58,33,5.57,HT,2023-03-06 17:47:35
161,khatanga,71.9667,102.5,-28.71,100,100,1.86,RU,2023-03-06 17:47:35
162,arraial do cabo,-22.9661,-42.0278,30.98,74,40,2.57,BR,2023-03-06 17:47:35
163,srednekolymsk,67.45,153.6833,-38.91,100,32,0.72,RU,2023-03-06 17:47:35
164,port-cartier,50.0334,-66.8654,7.06,92,67,6.42,CA,2023-03-06 17:47:35
165,hasaki,35.7333,140.8333,5.68,79,5,3.99,JP,2023-03-06 17:47:36
166,victoria,22.2855,114.1577,19.07,68,0,1.79,HK,2023-03-06 17:47:36
167,tutoia,-2.7619,-42.2744,28.38,75,85,5.45,BR,2023-03-06 17:47:36
168,gornopravdinsk,60.05,69.9,-4.12,95,100,3.95,RU,2023-03-06 17:47:36
169,constitucion,-35.3333,-72.4167,20.28,65,27,3.89,CL,2023-03-06 17:44:42
170,morlaix,48.5833,-4.0,7.26,81,100,3.09,FR,2023-03-06 17:47:37
171,nhulunbuy,-12.2333,136.7667,27.34,78,75,5.66,AU,2023-03-06 17:47:37
172,zalesovo,53.9939,84.7431,-1.79,90,100,6.54,RU,2023-03-06 17:47:37
173,north bend,43.4065,-124.2243,6.2,87,100,3.6,US,2023-03-06 17:47:37
174,flinders,-34.5833,150.8552,21.77,88,17,0.89,AU,2023-03-06 17:47:37
175,yulara,-25.2406,130.9889,21.92,28,0,6.88,AU,2023-03-06 17:47:37
176,grand-santi,4.25,-54.3833,28.63,75,90,1.83,GF,2023-03-06 17:47:37
177,acapulco,16.8634,-99.8901,29.18,54,13,3.26,MX,2023-03-06 17:47:38
178,bunia,1.5667,30.25,25.31,38,53,1.58,CD,2023-03-06 17:47:38
179,marzuq,14.4,46.4667,18.96,54,0,2.86,YE,2023-03-06 17:47:38
180,kruisfontein,-34.0033,24.7314,17.71,88,94,3.92,ZA,2023-03-06 17:47:38
181,oranjemund,-28.55,16.4333,16.94,91,6,8.19,NA,2023-03-06 17:47:38
182,beringovskiy,63.05,179.3167,-29.86,88,30,2.84,RU,2023-03-06 17:47:38
183,iqaluit,63.7506,-68.5145,-3.15,100,100,1.03,CA,2023-03-06 17:47:39
184,touros,-5.1989,-35.4608,28.21,70,100,6.89,BR,2023-03-06 17:47:39
185,westport,41.1415,-73.3579,11.16,31,0,6.69,US,2023-03-06 17:47:39
186,luau,-10.7073,22.2247,18.31,95,98,1.54,AO,2023-03-06 17:47:39
187,buta,2.7858,24.73,27.73,44,82,1.09,CD,2023-03-06 17:47:39
188,castro,-24.7911,-50.0119,23.64,75,12,2.7,BR,2023-03-06 17:47:39
189,xining,36.6167,101.7667,2.91,42,64,0.47,CN,2023-03-06 17:47:40
190,wangqing,43.3218,129.7634,1.45,86,2,0.2,CN,2023-03-06 17:47:40
191,husavik,66.0449,-17.3389,-5.95,68,100,4.81,IS,2023-03-06 17:47:40
192,bahir dar,11.5936,37.3908,19.07,70,100,4.61,ET,2023-03-06 17:47:40
193,baker city,44.7749,-117.8344,0.88,69,0,2.06,US,2023-03-06 17:47:40
194,sur,22.5667,59.5289,24.41,65,0,1.43,OM,2023-03-06 17:47:40
195,laguna,38.421,-121.4238,9.86,75,100,5.66,US,2023-03-06 17:47:40
196,kinablangan,7.6947,126.5503,24.81,87,98,4.31,PH,2023-03-06 17:47:41
197,saint-nazaire,47.2833,-2.2,7.99,61,0,3.6,FR,2023-03-06 17:47:41
198,leningradskiy,69.3833,178.4167,-33.92,99,49,2.05,RU,2023-03-06 17:47:41
199,codrington,-38.2667,141.9667,13.21,77,42,6.8,AU,2023-03-06 17:47:41
200,gravdal,68.1214,13.5031,-9.06,57,20,1.03,NO,2023-03-06 17:47:41
201,san andres,12.5847,-81.7006,30.01,62,20,7.72,CO,2023-03-06 17:47:42
202,vega de alatorre,20.0333,-96.6333,27.31,68,65,3.81,MX,2023-03-06 17:47:42
203,banamba,13.55,-7.45,36.2,7,89,3.31,ML,2023-03-06 17:47:42
204,port hardy,50.6996,-127.4199,4.0,93,75,0.0,CA,2023-03-06 17:47:42
205,kahului,20.8947,-156.47,25.47,81,40,6.69,US,2023-03-06 17:45:03
206,sosua,19.7667,-70.5167,31.99,74,40,7.72,DO,2023-03-06 17:47:42
207,jiutai,44.1525,125.8328,1.19,48,34,3.08,CN,2023-03-06 17:47:42
208,muli,2.9167,73.5667,27.83,74,83,5.16,MV,2023-03-06 17:46:42
209,wyszkow,52.5928,21.4584,2.28,98,100,1.86,PL,2023-03-06 17:47:43
210,port shepstone,-30.7414,30.455,23.07,85,99,5.01,ZA,2023-03-06 17:47:43
211,birao,10.2849,22.7882,33.53,11,41,2.44,CF,2023-03-06 17:47:43
212,wurzburg,49.7878,9.9361,3.89,78,100,3.27,DE,2023-03-06 17:45:00
213,bengkulu,-3.8004,102.2655,23.59,90,100,1.97,ID,2023-03-06 17:47:43
214,nizhniy tsasuchey,50.5167,115.1333,-6.22,75,100,4.21,RU,2023-03-06 17:47:43
215,yanam,16.7333,82.2167,21.44,81,24,0.82,IN,2023-03-06 17:47:44
216,yar-sale,66.8333,70.8333,-23.99,99,100,3.07,RU,2023-03-06 17:47:44
217,fukue,32.6881,128.8419,12.87,57,0,2.74,JP,2023-03-06 17:47:44
218,whitehorse,60.7161,-135.0538,-30.57,69,20,1.54,CA,2023-03-06 17:45:25
219,praya,14.9215,-23.5087,28.3,34,0,8.75,CV,2023-03-06 17:47:44
220,nyurba,63.2842,118.3319,-27.92,99,100,2.37,RU,2023-03-06 17:47:44
221,margate,51.3813,1.3862,7.17,85,100,1.79,GB,2023-03-06 17:47:44
222,ravar,31.2656,56.8055,18.89,22,0,1.33,IR,2023-03-06 17:47:45
223,adelaide,-34.9333,138.6,17.73,68,75,8.23,AU,2023-03-06 17:47:45
224,inirida,3.8653,-67.9239,25.9,88,100,1.19,CO,2023-03-06 17:47:45
225,lazaro cardenas,17.9583,-102.2,28.01,53,33,3.25,MX,2023-03-06 17:47:45
226,joao camara,-5.5375,-35.8197,29.28,56,94,6.84,BR,2023-03-06 17:47:45
227,komsomolskiy,40.4272,71.7189,10.4,71,100,3.09,UZ,2023-03-06 17:47:45
228,cabo san lucas,22.8909,-109.9124,28.12,47,6,2.37,MX,2023-03-06 17:47:45
229,vila velha,-20.3297,-40.2925,30.97,76,20,8.75,BR,2023-03-06 17:46:20
230,sibolga,1.7427,98.7792,24.46,89,100,1.51,ID,2023-03-06 17:47:46
231,moron,-34.6534,-58.6198,35.57,46,0,4.19,AR,2023-03-06 17:47:46
232,ishigaki,24.3448,124.1572,17.07,67,75,4.63,JP,2023-03-06 17:47:46
233,nakhon thai,17.1006,100.8374,24.44,50,23,1.19,TH,2023-03-06 17:47:46
234,kuala terengganu,5.3302,103.1408,23.97,94,20,1.03,MY,2023-03-06 17:47:46
235,mapiri,-15.25,-68.1667,33.48,41,100,0.29,BO,2023-03-06 17:47:47
236,ulladulla,-35.35,150.4667,21.56,39,18,4.24,AU,2023-03-06 17:47:47
237,veraval,20.9,70.3667,25.44,50,0,3.0,IN,2023-03-06 17:47:47
238,krasnoselkup,65.7,82.4667,-13.49,96,98,4.27,RU,2023-03-06 17:47:47
239,chantada,42.6088,-7.7712,9.57,82,99,1.64,ES,2023-03-06 17:47:47
240,saint-georges,12.0564,-61.7485,26.75,68,19,5.86,GD,2023-03-06 17:47:47
241,north myrtle beach,33.816,-78.68,25.16,61,0,3.09,US,2023-03-06 17:47:47
242,aklavik,68.2191,-135.0107,-32.0,68,20,1.03,CA,2023-03-06 17:47:48
243,carbonia,39.1672,8.5222,13.53,86,97,1.99,IT,2023-03-06 17:47:48
244,salinas,36.6777,-121.6555,12.13,65,0,5.66,US,2023-03-06 17:44:09
245,uige,-7.6087,15.0613,22.66,82,93,0.88,AO,2023-03-06 17:47:48
246,chachapoyas,-6.2317,-77.869,17.45,82,100,1.18,PE,2023-03-06 17:47:14
247,bandarbeyla,9.4942,50.8122,25.31,73,0,6.53,SO,2023-03-06 17:47:48
248,saskylakh,71.9167,114.0833,-25.23,99,100,1.62,RU,2023-03-06 17:47:48
249,nikolskoye,59.7035,30.7861,-4.06,97,100,1.6,RU,2023-03-06 17:47:49
250,port macquarie,-31.4333,152.9167,20.5,78,42,4.16,AU,2023-03-06 17:47:49
251,sandomierz,50.6827,21.749,2.03,84,100,4.08,PL,2023-03-06 17:47:49
252,los llanos de aridane,28.6585,-17.9182,18.86,85,40,2.57,ES,2023-03-06 17:47:49
253,rocha,-34.4833,-54.3333,31.24,25,10,6.26,UY,2023-03-06 17:47:49
254,kavieng,-2.5744,150.7967,27.49,72,97,2.29,PG,2023-03-06 17:47:50
255,kangaatsiaq,68.3065,-53.4641,-8.61,89,49,2.54,GL,2023-03-06 17:47:50
256,saint-augustin,51.226,-58.6502,-1.48,98,99,1.03,CA,2023-03-06 17:47:50
257,palmer,42.1584,-72.3287,8.75,27,40,8.23,US,2023-03-06 17:45:06
258,halifax,44.6453,-63.5724,1.49,73,100,8.23,CA,2023-03-06 17:45:25
259,kapit,2.0167,112.9333,22.58,100,98,0.46,MY,2023-03-06 17:47:50
260,nantucket,41.2835,-70.0995,10.08,46,0,9.26,US,2023-03-06 17:47:50
261,coquimbo,-29.9533,-71.3436,22.85,64,40,5.14,CL,2023-03-06 17:44:20
262,saint-pierre,-21.3393,55.4781,26.82,83,100,2.57,RE,2023-03-06 17:47:51
263,porto santo,33.072,-16.3415,20.21,83,40,3.6,PT,2023-03-06 17:47:51
264,marawi,7.9986,124.2928,18.87,97,89,0.91,PH,2023-03-06 17:47:51
265,labytnangi,66.6572,66.4183,-26.77,94,78,2.47,RU,2023-03-06 17:47:51
266,luderitz,-26.6481,15.1594,18.87,73,0,12.67,NA,2023-03-06 17:47:51
267,samarai,-10.6167,150.6667,26.58,80,42,2.94,PG,2023-03-06 17:47:51
268,chake chake,-5.2459,39.7666,26.22,76,98,5.5,TZ,2023-03-06 17:47:51
269,shakhovskaya,56.0283,35.5097,-7.21,93,74,4.1,RU,2023-03-06 17:47:52
270,itarema,-2.9248,-39.9167,29.2,66,94,6.47,BR,2023-03-06 17:47:52
271,isangel,-19.55,169.2667,25.06,83,35,5.47,VU,2023-03-06 17:47:52
272,heze,35.2431,115.4411,14.57,51,1,3.37,CN,2023-03-06 17:47:52
273,nichinan,31.6,131.3667,9.45,65,0,2.13,JP,2023-03-06 17:47:52
274,ust-kuyga,70.0167,135.6,-22.05,99,100,0.24,RU,2023-03-06 17:47:53
275,trzebiatow,54.0615,15.2648,-0.08,74,75,3.64,PL,2023-03-06 17:47:53
276,kaitangata,-46.2817,169.8464,7.61,94,49,1.93,NZ,2023-03-06 17:47:53
277,kalmunai,7.4167,81.8167,25.05,84,5,2.88,LK,2023-03-06 17:47:53
278,general pico,-35.6566,-63.7568,39.11,20,92,6.66,AR,2023-03-06 17:44:58
279,koutsouras,35.0339,25.9469,15.62,57,26,1.94,GR,2023-03-06 17:47:53
280,guerrero negro,27.9769,-114.0611,16.07,62,100,8.38,MX,2023-03-06 17:47:54
281,vila franca do campo,37.7167,-25.4333,16.23,87,53,7.58,PT,2023-03-06 17:47:54
282,kieta,-6.2167,155.6333,25.88,84,100,1.24,PG,2023-03-06 17:47:54
283,sweetwater,25.7634,-80.3731,32.22,57,20,4.12,US,2023-03-06 17:47:54
284,katsuura,35.1333,140.3,9.78,79,3,2.05,JP,2023-03-06 17:47:54
285,southbridge,42.0751,-72.0334,9.01,30,28,3.58,US,2023-03-06 17:47:54
286,huarmey,-10.0681,-78.1522,25.68,69,98,4.47,PE,2023-03-06 17:47:54
287,solnechnyy,50.7214,136.6319,-8.13,96,97,1.41,RU,2023-03-06 17:47:55
288,lavrentiya,65.5833,-171.0,-2.42,98,100,4.11,RU,2023-03-06 17:47:55
289,kaeo,-35.1,173.7833,16.29,96,48,1.83,NZ,2023-03-06 17:47:55
290,rosetta,31.4044,30.4164,15.43,67,1,4.72,EG,2023-03-06 17:47:55
291,callaway,30.153,-85.5699,25.55,82,100,1.54,US,2023-03-06 17:45:51
292,inyonga,-6.7167,32.0667,21.48,73,76,1.49,TZ,2023-03-06 17:47:55
293,siocon,7.7061,122.1353,24.78,86,20,3.44,PH,2023-03-06 17:47:56
294,paita,-5.0892,-81.1144,28.03,62,98,3.77,PE,2023-03-06 17:47:56
295,longyearbyen,78.2186,15.6401,-14.09,43,40,6.69,SJ,2023-03-06 17:47:56
296,srandakan,-7.9386,110.2506,24.37,88,79,2.02,ID,2023-03-06 17:47:56
297,tual,-5.6667,132.75,27.97,78,100,8.23,ID,2023-03-06 17:47:56
298,chapais,49.7834,-74.8492,-7.12,85,94,6.46,CA,2023-03-06 17:47:56
299,deniliquin,-35.5333,144.9667,16.41,56,5,5.03,AU,2023-03-06 17:47:56
300,kasane,-17.8167,25.15,28.05,51,0,2.06,BW,2023-03-06 17:47:57
301,erenhot,43.6475,111.9767,5.4,32,13,8.06,CN,2023-03-06 17:47:57
